Fecha;Cartera;Valor;Moneda;TIKR;Operación;Unidades;Precio unitario;Comisiones;Precio unitario (€);Comisiones (€);Retenciones (€)
18/10/2021;Degiro;W.P. Carey;USD;WPC;DIV;1;4,21;0,00;3,62;0,00;0,20
18/10/2021;Degiro;Occidental Petroleoum;USD;OXY;DIV;1;0,06;0,00;0,05;0,00;0,01
18/10/2021;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,47;0,00;1,26;0,00;0,19
28/10/2021;Degiro;Cisco;USD;CSCO;DIV;1;0,74;0,00;0,63;0,00;0,09
1/11/2021;Degiro;AT&T;USD;T;DIV;1;14,04;0,00;12,08;0,00;1,82
8/11/2021;Degiro;National Health Investement;USD;NHI;DIV;1;1,80;0,00;1,55;0,00;0,23
16/11/2021;Degiro;Tanger Factory Outlet Centers;USD;SKT;DIV;1;2,56;0,00;2,26;0,00;0,34
16/11/2021;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,47;0,00;1,30;0,00;0,19
16/11/2021;Degiro;AbbVie;USD;ABBV;DIV;1;2,60;0,00;2,29;0,00;0,34
2/12/2021;Degiro;Intel;USD;INTC;DIV;1;0,35;0,00;0,31;0,00;0,04
6/12/2021;Degiro;Dominion Energy;USD;D;SELL;2;74,38;0,00;65,88;0,00;0,00
6/12/2021;Degiro;Occidental Petroleoum;USD;OXY;SELL;6;30,16;0,00;26,71;0,00;0,00
6/12/2021;Degiro;Intel;USD;INTC;BUY;2;102,28;0,00;90,76;0,00;0,00
