Fecha;Cartera;Valor;Moneda;TIKR;Operación;Unidades;Precio unitario;Comisiones;Precio unitario (€);Comisiones (€);Retenciones (€)
20/05/2020;Degiro;Energy Transfer;USD;ET;DIV;1;5,49;0,00;5,00;0,00;1,85
29/05/2020;Degiro;AbbVie;USD;ABBV;BUY;1;91,00;0,56;81,97;0,50;0,00
11/06/2020;Degiro;IBM;USD;IBM;DIV;1;3,26;0,00;2,88;0,00;0,43
16/06/2020;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,28;0,00;0,20
23/06/2020;Degiro;Dominion Energy;USD;D;DIV;1;1,88;0,00;1,66;0,00;0,25
31/7/2020;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;INT;1;33,91;0,00;33,91;0,00;0,00
31/7/2020;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;BUY;1;33,91;0,00;33,91;0,00;0,00
31/8/2020;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;INT;1;26,53;0,00;26,53;0,00;0,00
31/8/2020;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;BUY;1;26,53;0,00;26,53;0,00;0,00
17/7/2020;Acc. Empleado;Telefónica SA;EUR;BME:TEF;BUY;36,73769;4,08;0,00;4,08;0,00;0,00
15/7/2020;Acc. Empleado;Telefónica SA;EUR;BME:TEF;DIV;1;60,41;0,00;60,41;0,00;0,00
15/7/2020;Acc. Empleado;Telefónica SA;EUR;BME:TEF;BUY;12,5471;4,82;0,00;4,82;0,00;0,00
17/7/2020;Acc. Empleado;Telefónica SA;EUR;BME:TEF;BUY;167,53649;0,00;0,00;0,00;0,00;0,00
3/7/2020;Degiro;Iron Mountain;USD;IRM;DIV;1;4,33;0,00;3,85;0,00;0,58
11/7/2020;Degiro;Altria Group Inc;USD;MO;DIV;1;5,04;0,00;4,46;0,00;0,67
16/7/2020;Degiro;Occidental Petroleoum;USD;OXY;DIV;1;0,06;0,00;0,05;0,00;0,01
16/7/2020;Degiro;Preferred Apt. Communities;USD;APTS;DIV;1;2,98;0,00;2,62;0,00;0,39
16/7/2020;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,26;0,00;0,19
16/7/2020;Degiro;W.P. Carey;USD;WPC;DIV;1;4,17;0,00;3,66;0,00;0,55
17/7/2020;Degiro;Medical Properties Trust;USD;MPW;DIV;1;12,96;0,00;11,33;0,00;1,70
27/7/2020;Degiro;Simon Property;USD;SPG;DIV;1;2,60;0,00;2,22;0,00;0,33
4/8/2020;Degiro;AT&T;USD;T;DIV;1;14,04;0,00;11,92;0,00;1,79
8/8/2020;Degiro;National Health Investement;USD;NHI;DIV;1;2,21;0,00;1,87;0,00;0,28
13/8/2020;Degiro;Enterprise Products Partners L.P;USD;EPD;DIV;1;3,56;0,00;3,02;0,00;1,12
14/8/2020;Degiro;Holly Energy Partners;USD;HEP;DIV;1;2,45;0,00;2,07;0,00;0,77
17/8/2020;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,21;0,00;0,19
17/8/2020;Degiro;AbbVie;USD;ABBV;DIV;1;2,36;0,00;1,99;0,00;0,29
17/8/2020;Degiro;Magellan Midstream;USD;MMP;DIV;1;6,17;0,00;5,19;0,00;1,92
19/8/2020;Degiro;Energy Transfer;USD;ET;DIV;1;5,49;0,00;4,63;0,00;1,71
08/09/2020;Degiro;Banco Sabadell;EUR;BME:SAB;BUY;200;0,40;2,04;0,40;2,04;0,00
4/5/2018;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;8,80463;24,39;0,00;24,39;0,00;0,00
1/6/2018;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;8,82714;24,33;0,00;24,33;0,00;0,00
4/7/2018;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;8,86485;24,23;0,00;24,23;0,00;0,00
2/8/2018;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;13,20773;24,39;0,00;24,39;0,00;0,00
5/9/2018;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;8,85945;24,24;0,00;24,24;0,00;0,00
2/10/2018;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;8,82379;24,34;0,00;24,34;0,00;0,00
6/11/2018;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;8,96726;23,95;0,00;23,95;0,00;0,00
5/12/2018;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;9,01643;23,82;0,00;23,82;0,00;0,00
27/12/2018;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;18,48683;23,24;0,00;23,24;0,00;0,00
1/2/2019;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;8,95925;23,97;0,00;23,97;0,00;0,00
4/3/2019;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;8,83746;24,30;0,00;24,30;0,00;0,00
14/3/2019;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;6,60467;24,39;0,00;24,39;0,00;0,00
4/4/2019;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;8,7159;24,64;0,00;24,64;0,00;0,00
2/5/2019;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;8,68249;24,74;0,00;24,74;0,00;0,00
3/6/2019;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;9,07964;24,36;0,00;24,36;0,00;0,00
5/7/2019;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;8,66601;24,91;0,00;24,91;0,00;0,00
31/7/2019;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;17,33392;24,91;0,00;24,91;0,00;0,00
30/8/2019;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;8,70541;24,80;0,00;24,80;0,00;0,00
3/10/2019;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;8,71849;24,76;0,00;24,76;0,00;0,00
6/11/2019;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;9,78295;25,21;0,00;25,21;0,00;0,00
2/12/2019;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;8,6924;25,14;0,00;25,14;0,00;0,00
23/12/2019;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;17,18849;25,43;0,00;25,43;0,00;0,00
5/2/2020;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;9,66961;25,53;0,00;25,53;0,00;0,00
5/3/2020;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;19,97418;24,72;0,00;24,72;0,00;0,00
2/4/2020;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;10,83556;22,79;0,00;22,79;0,00;0,00
21/5/2020;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;10,37729;23,62;0,00;23,62;0,00;0,00
10/6/2020;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;10,20664;24,20;0,00;24,20;0,00;0,00
8/7/2020;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;10,17843;24,23;0,00;24,23;0,00;0,00
5/8/2020;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;20,33399;24,28;0,00;24,28;0,00;0,00
8/9/2020;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;10,16794;24,28;0,00;24,28;0,00;0,00
11/9/2020;Degiro;IBM;USD;IBM;DIV;1;3,26;0,00;2,75;0,00;0,41
16/9/2020;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,21;0,00;0,19
22/9/2020;Degiro;Dominion Energy;USD;D;DIV;1;1,88;0,00;1,60;0,00;0,24
3/10/2020;Degiro;Iron Mountain;USD;IRM;DIV;1;4,33;0,00;3,69;0,00;0,55
9/10/2020;Degiro;Medical Properties Trust;USD;MPW;DIV;1;12,96;0,00;11,01;0,00;1,65
10/10/2020;Degiro;Altria Group Inc;USD;MO;DIV;1;5,16;0,00;4,36;0,00;0,65
16/10/2020;Degiro;Preferred Apt. Communities;USD;APTS;DIV;1;2,98;0,00;2,54;0,00;0,38
16/10/2020;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,23;0,00;0,19
16/10/2020;Degiro;W.P. Carey;USD;WPC;DIV;1;4,18;0,00;3,57;0,00;0,54
16/10/2020;Degiro;Occidental Petroleoum;USD;OXY;DIV;1;0,06;0,00;0,05;0,00;0,01
26/10/2020;Degiro;Simon Property;USD;SPG;DIV;1;2,69;0,00;2,28;0,00;0,33
3/11/2020;Degiro;AT&T;USD;T;DIV;1;14,04;0,00;11,97;0,00;1,80
7/11/2020;Degiro;National Health Investement;USD;NHI;DIV;1;2,21;0,00;1,86;0,00;0,28
13/11/2020;Degiro;Holly Energy Partners;USD;HEP;DIV;1;2,45;0,00;2,07;0,00;0,77
13/11/2020;Degiro;Enterprise Products Partners L.P;USD;EPD;DIV;1;3,56;0,00;3,01;0,00;1,12
16/11/2020;Degiro;Magellan Midstream;USD;MMP;DIV;1;6,17;0,00;5,20;0,00;1,92
16/11/2020;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,21;0,00;0,19
17/11/2020;Degiro;AbbVie;USD;ABBV;DIV;1;2,36;0,00;1,99;0,00;0,29
20/11/2020;Degiro;Energy Transfer;USD;ET;DIV;1;2,75;0,00;2,32;0,00;0,86
25/11/2020;Degiro;Holly Energy Partners;USD;HEP;SELL;7;14,46;0,62;12,12;0,52;0,00
25/11/2020;Degiro;Enterprise Products Partners L.P;USD;EPD;SELL;8;20,42;0,63;17,13;0,53;0,00
25/11/2020;Degiro;Energy Transfer;USD;ET;SELL;18;6,48;0,67;5,43;0,56;0,00
8/12/2020;Degiro;UGI Corp;USD;UGI;BUY;4;35,46;0,62;29,31;0,51;0,00
8/12/2020;Degiro;Merck;USD;MRK;BUY;2;83,47;0,62;68,98;0,51;0,00
8/12/2020;Degiro;Cisco;USD;CSCO;BUY;2;44,32;0,62;36,63;0,51;0,00
30/9/2020;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;INT;1;41,16;0,00;41,16;0,00;0,00
30/9/2020;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;BUY;1;41,16;0,00;41,16;0,00;0,00
31/10/2020;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;INT;1;27,87;0,00;27,87;0,00;0,00
31/10/2020;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;BUY;1;27,87;0,00;27,87;0,00;0,00
30/11/2020;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;INT;1;30,22;0,00;30,22;0,00;0,00
30/11/2020;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;BUY;1;30,22;0,00;30,22;0,00;0,00
5/10/2020;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;10,14169;24,34;0,00;24,34;0,00;0,00
4/11/2020;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;10,09148;24,46;0,00;24,46;0,00;0,00
11/12/2020;Degiro;IBM;USD;IBM;DIV;1;3,26;0,00;2,69;0,00;0,00
11/12/2020;Degiro;Magellan Midstream;USD;MMP;SELL;6;46,00;0,63;37,91;0,52;0,00
16/12/2020;Degiro;Main Street Capital Corp.;USD;MAIN;DIV;1;1,44;0,00;1,18;0,00;0,18
21/12/2020;Degiro;Dominion Energy;USD;D;DIV;1;1,26;0,00;1,03;0,00;0,16
5/1/2021;Degiro;UGI Corp;USD;UGI;DIV;1;1,32;0,00;1,08;0,00;0,16
5/1/2021;Degiro;Danone;EUR;EPA:BN;BUY;4;54,60;4,77;54,60;4,77;0,00
7/1/2021;Degiro;Iron Mountain;USD;IRM;DIV;1;4,33;0,00;3,51;0,00;0,53
7/1/2021;Crypto;Ripple (KRAKEN);EUR;KRAKEN:XRPEUR;SELL;175,745;0,27;0,09;0,27;0,09;0,00
7/1/2021;Fondos;AXA World Funds - Global Factors - Sustainable Equity A Capitalisation EUR;EUR;LU1774149998;BUY;7,37844;135,53;0,00;135,53;0,00;0,00
31/12/2020;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;INT;1;37,77;0,00;37,77;0,00;0,00
31/12/2020;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;BUY;1;37,77;0,00;37,77;0,00;0,00
4/12/2020;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;9,83877;25,09;0,00;25,09;0,00;0,00
31/12/2020;Plan Pensiones;Plan Pensiones TSOL;EUR;P.PENSIONES;BUY;19,5494;25,25;0,00;25,25;0,00;0,00
31/01/2021;Mintos - Auto1;Mintos - Créditos;EUR;MINTOS;INT;1;37,89;0,00;37,89;0,00;0,00
